# DNI,NOMBRE,INFRACCION,FECHA,CODIGO
79672079,CONTRERAS/CHANG/JOHANA-CINTHIA,P599-629,12/12/2023,2036
79672079,CONTRERAS/CHANG/JOHANA-CINTHIA,M852-620,23/01/2024,2029
79672079,CONTRERAS/CHANG/JOHANA-CINTHIA,P282-128,12/11/2023,2067
77763722,FARFAN/SALAZAR/MARGOT,P482-255,30/09/2023,3003
77763722,FARFAN/SALAZAR/MARGOT,M277-299,10/05/2024,2005
77763722,FARFAN/SALAZAR/MARGOT,P163-421,6/03/2025,2011
19568447,VEGA/SORIA/HENRRY,M907-605,2/11/2024,2010
81528434,EPIQUEN/AVILA/ENRIQUE,M832-314,16/06/2023,2021
81528434,EPIQUEN/AVILA/ENRIQUE,G650-450,19/04/2024,2054
81528434,EPIQUEN/AVILA/ENRIQUE,M837-854,8/02/2023,1033
81528434,EPIQUEN/AVILA/ENRIQUE,P325-587,20/02/2025,2065
81528434,EPIQUEN/AVILA/ENRIQUE,G377-489,26/11/2024,2068
47844324,VILCA/LEE/NESTOR-HUGO,P618-120,17/03/2025,2042
47844324,VILCA/LEE/NESTOR-HUGO,G835-830,21/05/2023,2044
47844324,VILCA/LEE/NESTOR-HUGO,P131-278,23/10/2024,2073
86718074,ESCALANTE/ROJAS/INES-ADRIA,G368-136,6/12/2023,1007
12270502,CUEVA/FUENTES/CINTHIA-DELIA,G250-663,5/02/2025,2073
12270502,CUEVA/FUENTES/CINTHIA-DELIA,P246-429,10/07/2023,2064
12270502,CUEVA/FUENTES/CINTHIA-DELIA,G855-340,1/12/2024,1048
12270502,CUEVA/FUENTES/CINTHIA-DELIA,G266-362,28/12/2023,1037
12270502,CUEVA/FUENTES/CINTHIA-DELIA,G991-678,24/06/2024,1010
48528209,ZAVALETA/CORONADO/FELICITA-ELOISA,G262-654,9/06/2024,2025
48528209,ZAVALETA/CORONADO/FELICITA-ELOISA,G402-859,28/03/2023,2015
48528209,ZAVALETA/CORONADO/FELICITA-ELOISA,G958-240,8/05/2024,2021
48528209,ZAVALETA/CORONADO/FELICITA-ELOISA,G400-314,29/11/2023,2059
48528209,ZAVALETA/CORONADO/FELICITA-ELOISA,P156-716,18/08/2023,1046
88167677,PRADO/VERA/JUAN,G264-957,13/08/2023,1032
88167677,PRADO/VERA/JUAN,M366-914,12/09/2024,1019
88167677,PRADO/VERA/JUAN,G325-333,26/08/2024,2031
88167677,PRADO/VERA/JUAN,M435-175,26/04/2023,1039
88167677,PRADO/VERA/JUAN,P665-969,26/07/2023,1032
12858682,ZARATE/PEREZ/ALEXANDER,M207-572,21/03/2024,2052
12858682,ZARATE/PEREZ/ALEXANDER,G520-337,23/10/2024,3002
12858682,ZARATE/PEREZ/ALEXANDER,M137-958,5/08/2024,2047
75348522,LOZADA/FORZANI/DELIA,G938-356,26/03/2025,2016
75348522,LOZADA/FORZANI/DELIA,G113-951,25/03/2025,2069
75348522,LOZADA/FORZANI/DELIA,P310-575,10/01/2025,1041
75348522,LOZADA/FORZANI/DELIA,G841-644,2/03/2024,2014
75348522,LOZADA/FORZANI/DELIA,G744-786,25/10/2024,2040
87495937,MORALES/PASQUEL/KARIN-MARIBEL,G329-867,14/12/2023,2072
81485316,JUSTINO/MARTINEZ/ENRIQUE,G710-594,25/10/2023,1004
81485316,JUSTINO/MARTINEZ/ENRIQUE,P486-917,21/06/2024,2010
81485316,JUSTINO/MARTINEZ/ENRIQUE,M774-204,10/02/2023,1012
81485316,JUSTINO/MARTINEZ/ENRIQUE,G156-830,26/11/2023,2059
81485316,JUSTINO/MARTINEZ/ENRIQUE,M500-707,30/08/2024,3005
81799482,CERNA/CERNA/CINTHIA,M359-944,10/06/2023,1046
81799482,CERNA/CERNA/CINTHIA,G635-752,9/11/2023,2042
81799482,CERNA/CERNA/CINTHIA,G592-689,26/07/2023,1018
81799482,CERNA/CERNA/CINTHIA,G605-765,28/01/2025,1047
81799482,CERNA/CERNA/CINTHIA,M561-874,30/03/2024,2067
13219606,RODRIGUEZ/MORENO/BLANCA-OFELIA,M312-270,6/05/2023,3007
13219606,RODRIGUEZ/MORENO/BLANCA-OFELIA,P201-291,5/06/2023,3007
73818744,FUENTES/GAMARRA/HUGO,P251-666,5/03/2023,3001
73818744,FUENTES/GAMARRA/HUGO,G938-342,19/06/2023,1046
73818744,FUENTES/GAMARRA/HUGO,G393-114,10/02/2023,2005
73818744,FUENTES/GAMARRA/HUGO,G662-512,8/05/2023,1043
85501710,VIZCARDO/SINCHE/MARIBEL,P532-434,10/06/2023,2016
85501710,VIZCARDO/SINCHE/MARIBEL,M651-665,5/08/2024,2053
12443643,LEE/SERRANO/ROSARIO,M483-214,31/08/2023,2053
12443643,LEE/SERRANO/ROSARIO,P235-315,26/03/2025,1012
12443643,LEE/SERRANO/ROSARIO,M421-807,22/04/2024,1001
12443643,LEE/SERRANO/ROSARIO,G926-575,8/05/2023,2070
82870470,SEDANO/RETAMOSO/ELIA-YOLANDA,P516-487,8/07/2024,1039
82870470,SEDANO/RETAMOSO/ELIA-YOLANDA,P478-603,25/03/2025,1045
48450395,RAMIREZ/ASTETE/KARINA-ESTEFANIA,G328-654,26/02/2023,2064
48450395,RAMIREZ/ASTETE/KARINA-ESTEFANIA,P692-666,19/02/2023,1034
48450395,RAMIREZ/ASTETE/KARINA-ESTEFANIA,P559-672,6/01/2024,1002
48450395,RAMIREZ/ASTETE/KARINA-ESTEFANIA,M317-350,21/04/2024,2001
79641328,TOKESHI/GUEVARA/JAIME,G734-120,16/02/2023,2014
79641328,TOKESHI/GUEVARA/JAIME,M512-863,27/10/2023,1036
79641328,TOKESHI/GUEVARA/JAIME,G437-799,18/10/2024,2023
89314225,RIOS/DURAND/CARLOS-EDILBERTO,G760-721,7/03/2025,2064
89314225,RIOS/DURAND/CARLOS-EDILBERTO,P152-838,18/10/2023,1001
89314225,RIOS/DURAND/CARLOS-EDILBERTO,G256-432,1/03/2025,2032
89314225,RIOS/DURAND/CARLOS-EDILBERTO,M288-737,5/05/2024,2052
89314225,RIOS/DURAND/CARLOS-EDILBERTO,P355-270,19/07/2023,1041
86429854,MOSCOSO/LAURA/JANET-VALENTINA,G374-384,23/10/2023,2028
86429854,MOSCOSO/LAURA/JANET-VALENTINA,M580-968,10/11/2024,2003
86429854,MOSCOSO/LAURA/JANET-VALENTINA,M510-956,11/07/2024,2067
86429854,MOSCOSO/LAURA/JANET-VALENTINA,M360-947,9/04/2025,1013
86429854,MOSCOSO/LAURA/JANET-VALENTINA,P364-899,12/09/2023,1011
84186239,RIVERO/CORONADO/HECTOR-ALONSO-JOSE,G872-544,22/06/2024,2009
84186239,RIVERO/CORONADO/HECTOR-ALONSO-JOSE,P582-282,28/07/2023,3005
80457845,NORABUENA/MOYA/HECTOR,G874-915,20/07/2023,2064
80457845,NORABUENA/MOYA/HECTOR,G616-581,26/02/2025,1012
80457845,NORABUENA/MOYA/HECTOR,G410-582,20/12/2024,2072
80457845,NORABUENA/MOYA/HECTOR,M912-415,19/01/2025,1015
80457845,NORABUENA/MOYA/HECTOR,P670-603,1/10/2024,1004
90467829,IPARRAGUIRRE/PEREZ-NICOLAS,M844-240,4/06/2024,2043
90467829,IPARRAGUIRRE/PEREZ-NICOLAS,G189-507,20/03/2025,1016
90467829,IPARRAGUIRRE/PEREZ-NICOLAS,P985-495,11/11/2024,1042
90467829,IPARRAGUIRRE/PEREZ-NICOLAS,P863-768,24/06/2023,1027
90467829,IPARRAGUIRRE/PEREZ-NICOLAS,G600-343,16/07/2024,1017
88854166,PINTO/ROJAS/JUVENAL-FRANCISCO,M257-722,7/04/2024,1031
88854166,PINTO/ROJAS/JUVENAL-FRANCISCO,P324-421,26/05/2024,2001
88854166,PINTO/ROJAS/JUVENAL-FRANCISCO,G568-563,27/01/2024,1047
88854166,PINTO/ROJAS/JUVENAL-FRANCISCO,P131-555,5/12/2024,1046
88854166,PINTO/ROJAS/JUVENAL-FRANCISCO,G411-657,5/12/2024,1009
77367073,JAUREGUI/DEL/CASTILLO/VICTOR-RICARDO,G542-724,10/04/2023,2066
77367073,JAUREGUI/DEL/CASTILLO/VICTOR-RICARDO,G974-598,16/06/2023,2002
77367073,JAUREGUI/DEL/CASTILLO/VICTOR-RICARDO,M655-400,19/06/2023,1034
73567806,ARCA/SANCHEZ/MAGALI-BEATRIZ-IRIS,P426-388,30/03/2024,2048
73567806,ARCA/SANCHEZ/MAGALI-BEATRIZ-IRIS,M993-637,14/10/2024,1026
73567806,ARCA/SANCHEZ/MAGALI-BEATRIZ-IRIS,G458-550,16/09/2023,1026
73567806,ARCA/SANCHEZ/MAGALI-BEATRIZ-IRIS,M666-407,9/03/2023,2028
89941095,ARCA/LARRIEGA/LUCERO-YLIANA,P860-616,20/06/2024,2022
89941095,ARCA/LARRIEGA/LUCERO-YLIANA,G138-788,30/07/2024,1048
89941095,ARCA/LARRIEGA/LUCERO-YLIANA,M708-335,10/09/2024,1039
89941095,ARCA/LARRIEGA/LUCERO-YLIANA,G226-459,21/12/2023,2059
89941095,ARCA/LARRIEGA/LUCERO-YLIANA,P474-593,1/01/2024,1005
87282766,SUAREZ/CHANG/GLORIA,M440-802,21/10/2023,2065
73972114,AVILA/MARTEL/JAIME/MANUEL,G657-925,25/09/2024,2052
73972114,AVILA/MARTEL/JAIME/MANUEL,M862-577,30/08/2024,2018
73972114,AVILA/MARTEL/JAIME/MANUEL,P255-643,14/07/2024,1003
73972114,AVILA/MARTEL/JAIME/MANUEL,M646-319,22/08/2024,1008
73972114,AVILA/MARTEL/JAIME/MANUEL,M655-864,7/04/2024,1021
79766395,FUENTES/ESCALANTE/PATRICIA/ELIZABETH,P195-859,23/03/2023,1037
79766395,FUENTES/ESCALANTE/PATRICIA/ELIZABETH,G485-562,24/02/2023,2046
79766395,FUENTES/ESCALANTE/PATRICIA/ELIZABETH,G763-950,27/04/2023,1025
74325123,TANG/MOSCOSO/JOHANA,P770-513,11/09/2023,2020
74325123,TANG/MOSCOSO/JOHANA,G968-856,29/07/2023,1021
74325123,TANG/MOSCOSO/JOHANA,M348-264,27/12/2023,2013
74325123,TANG/MOSCOSO/JOHANA,G214-608,13/05/2023,2035
74325123,TANG/MOSCOSO/JOHANA,P905-539,13/04/2024,2002
13628871,QUIROGA/HERNANDEZ/SILVANA-ZKENIA-MARIA,P203-441,27/12/2023,1023
75945248,MEJIA/RODRIGUEZ/INES-VALENTINA,G721-932,26/07/2024,1047
75945248,MEJIA/RODRIGUEZ/INES-VALENTINA,G450-448,15/02/2025,1005
75945248,MEJIA/RODRIGUEZ/INES-VALENTINA,P939-759,13/11/2024,2048
80310768,MINAYA/BERROCAL/HELI,M267-848,11/07/2023,3001
80310768,MINAYA/BERROCAL/HELI,M477-146,28/01/2023,2063
80310768,MINAYA/BERROCAL/HELI,G893-799,27/08/2024,2048
80310768,MINAYA/BERROCAL/HELI,G752-478,9/09/2023,2053
