dni,representanteLegal,distrito,placa,tipo
79672079,contreras/chang/johana-cinthia,Chorrillos,WDA433,PEQUENO
79672079,contreras/chang/johana-cinthia,Chorrillos,EZD819,MEDIANO
79672079,contreras/chang/johana-cinthia,Chorrillos,PBA133,PEQUENO
77763722,farfan/salazar/margot,La_Molina,SVA838,PEQUENO
77763722,farfan/salazar/margot,La_Molina,PHQ940,MEDIANO
77763722,farfan/salazar/margot,La_Molina,FYP542,PEQUENO
19568447,vega/soria/henrry,San_Juan_de_Lurigancho,GLD161,MEDIANO
81528434,epiquen/avila/enrique,Jesus_Maria,MMV407,MEDIANO
81528434,epiquen/avila/enrique,Jesus_Maria,TDN184,GRANDE
81528434,epiquen/avila/enrique,Jesus_Maria,WVM931,MEDIANO
81528434,epiquen/avila/enrique,Jesus_Maria,BXH413,PEQUENO
81528434,epiquen/avila/enrique,Jesus_Maria,DNJ752,GRANDE
47844324,vilca/lee/nestor-hugo,Comas,MMG419,PEQUENO
47844324,vilca/lee/nestor-hugo,Comas,WFT327,GRANDE
47844324,vilca/lee/nestor-hugo,Comas,NJW835,PEQUENO
86718074,escalante/rojas/ines-adria,Jesus_Maria,BHB564,GRANDE
12270502,cueva/fuentes/cinthia-delia,El_Agustino,CGU537,GRANDE
12270502,cueva/fuentes/cinthia-delia,El_Agustino,NWQ242,PEQUENO
12270502,cueva/fuentes/cinthia-delia,El_Agustino,HZT849,GRANDE
12270502,cueva/fuentes/cinthia-delia,El_Agustino,PUN532,GRANDE
12270502,cueva/fuentes/cinthia-delia,El_Agustino,SRC012,GRANDE
48528209,zavaleta/coronado/felicita-eloisa,Villa_Maria_del_Triunfo,WFX691,GRANDE
48528209,zavaleta/coronado/felicita-eloisa,Villa_Maria_del_Triunfo,NNV784,GRANDE
48528209,zavaleta/coronado/felicita-eloisa,Villa_Maria_del_Triunfo,TAX184,GRANDE
48528209,zavaleta/coronado/felicita-eloisa,Villa_Maria_del_Triunfo,WLD462,GRANDE
48528209,zavaleta/coronado/felicita-eloisa,Villa_Maria_del_Triunfo,QAZ482,PEQUENO
88167677,prado/vera/juan,San_Miguel,SDW489,GRANDE
88167677,prado/vera/juan,San_Miguel,GEM288,MEDIANO
88167677,prado/vera/juan,San_Miguel,AVL701,GRANDE
88167677,prado/vera/juan,San_Miguel,MKH039,MEDIANO
88167677,prado/vera/juan,San_Miguel,CCZ718,PEQUENO
12858682,zarate/perez/alexander,Barranco,EEX782,MEDIANO
12858682,zarate/perez/alexander,Barranco,JSV638,GRANDE
12858682,zarate/perez/alexander,Barranco,ZYG465,MEDIANO
75348522,lozada/forzani/delia,Independencia,QSQ133,GRANDE
75348522,lozada/forzani/delia,Independencia,CLA983,GRANDE
75348522,lozada/forzani/delia,Independencia,UHA103,PEQUENO
75348522,lozada/forzani/delia,Independencia,CBL183,GRANDE
75348522,lozada/forzani/delia,Independencia,JXR382,GRANDE
87495937,morales/pasquel/karin-maribel,Independencia,ZUU737,GRANDE
81485316,justino/martinez/enrique,Santa_Maria_del_Mar,PGD165,GRANDE
81485316,justino/martinez/enrique,Santa_Maria_del_Mar,PPQ010,PEQUENO
81485316,justino/martinez/enrique,Santa_Maria_del_Mar,NZL133,MEDIANO
81485316,justino/martinez/enrique,Santa_Maria_del_Mar,GTQ262,GRANDE
81485316,justino/martinez/enrique,Santa_Maria_del_Mar,JQH178,MEDIANO
81799482,cerna/cerna/cinthia,Pucusana,DBW801,MEDIANO
81799482,cerna/cerna/cinthia,Pucusana,HFP773,GRANDE
81799482,cerna/cerna/cinthia,Pucusana,NBF606,GRANDE
81799482,cerna/cerna/cinthia,Pucusana,JQK687,GRANDE
81799482,cerna/cerna/cinthia,Pucusana,EGK309,MEDIANO
13219606,rodriguez/moreno/blanca-ofelia,Pueblo_Libre,ZTB500,MEDIANO
13219606,rodriguez/moreno/blanca-ofelia,Pueblo_Libre,URS820,PEQUENO
73818744,fuentes/gamarra/hugo,Pueblo_Libre,SCF191,PEQUENO
73818744,fuentes/gamarra/hugo,Pueblo_Libre,XHN193,GRANDE
73818744,fuentes/gamarra/hugo,Pueblo_Libre,UVB916,GRANDE
73818744,fuentes/gamarra/hugo,Pueblo_Libre,XUU854,GRANDE
85501710,vizcardo/sinche/maribel,San_Borja,GXY534,PEQUENO
85501710,vizcardo/sinche/maribel,San_Borja,NEX475,MEDIANO
12443643,lee/serrano/rosario,Santa_Maria_del_Mar,CAQ991,MEDIANO
12443643,lee/serrano/rosario,Santa_Maria_del_Mar,CTG842,PEQUENO
12443643,lee/serrano/rosario,Santa_Maria_del_Mar,MCH542,MEDIANO
12443643,lee/serrano/rosario,Santa_Maria_del_Mar,QTY498,GRANDE
82870470,sedano/retamoso/elia-yolanda,Rimac,AXT412,PEQUENO
82870470,sedano/retamoso/elia-yolanda,Rimac,JDD824,PEQUENO
48450395,ramirez/astete/karina-estefania,Magdalena_del_Mar,KVG534,GRANDE
48450395,ramirez/astete/karina-estefania,Magdalena_del_Mar,SRJ016,PEQUENO
48450395,ramirez/astete/karina-estefania,Magdalena_del_Mar,JBA524,PEQUENO
48450395,ramirez/astete/karina-estefania,Magdalena_del_Mar,FZQ868,MEDIANO
79641328,tokeshi/guevara/jaime,Cieneguilla,ADC280,GRANDE
79641328,tokeshi/guevara/jaime,Cieneguilla,MUT262,MEDIANO
79641328,tokeshi/guevara/jaime,Cieneguilla,BKM053,GRANDE
89314225,rios/durand/carlos-edilberto,Cercado_de_Lima,XHX158,GRANDE
89314225,rios/durand/carlos-edilberto,Cercado_de_Lima,PVZ232,PEQUENO
89314225,rios/durand/carlos-edilberto,Cercado_de_Lima,FPA256,GRANDE
89314225,rios/durand/carlos-edilberto,Cercado_de_Lima,XZH421,MEDIANO
89314225,rios/durand/carlos-edilberto,Cercado_de_Lima,NBR337,PEQUENO
