=======================================================================================================================================
REPORTE DE PRUEBA - ATENCIONES
FECHA     CODIGO  DURACION  PACIENTE
---------------------------------------------------------------------------------------------------------------------------------------
01/04/2023  4393   6774  691-12-9990
01/04/2023  8618   7920  770-82-7913
01/04/2023  5814   9542  344-36-7156
01/04/2023  2846   7462  111-19-4529
01/04/2023  6506   8719  378-12-5523
01/04/2023  8697  10418  229-85-2969
01/04/2023  8516   6634  646-67-2143
01/04/2023  4494  11679  712-25-4902
01/04/2023  2427   5975  662-21-6522
02/04/2023  1847   8903  646-67-2143
02/04/2023  2655   6190  469-30-6816
02/04/2023  6836  10586  520-32-2321
02/04/2023  2139   9531  834-50-2690
02/04/2023  9017   3099  646-67-2143
03/04/2023  4691   2180  706-19-4564
03/04/2023  5243   9490  659-67-6667
03/04/2023  2139   7682  646-67-2143
03/04/2023  2655   2004  712-25-4902
03/04/2023  9398   4374  378-12-5523
03/04/2023  1847  12135  469-84-4163
03/04/2023  8697  10630  888-46-1367
03/04/2023  6836   5180  195-51-9264
04/04/2023  1759   3964  113-60-6899
04/04/2023  6836   7191  636-29-5268
04/04/2023  9846  11551  415-95-3806
04/04/2023  9994   8701  278-49-6531
04/04/2023  8872   3454  636-29-5268
04/04/2023  1759   7259  691-12-9990
04/04/2023  5814  10852  195-51-9264
05/04/2023  9418   3342  131-71-6388
05/04/2023  3603   9528  374-26-1067
05/04/2023  6357  10530  728-31-2493
05/04/2023  6924   9464  198-35-6734
05/04/2023  2846   9719  691-12-9990
05/04/2023  8516   5130  378-12-5523
05/04/2023  8618   3065  251-72-9605
05/04/2023  1691   4235  698-47-1909
06/04/2023  1265  10138  506-94-2779
06/04/2023  5204  10247  520-32-2321
06/04/2023  3603   3608  706-19-4564
06/04/2023  8159  11756  888-46-1367
06/04/2023  6836   3541  712-25-4902
06/04/2023  5119   4663  770-82-7913
06/04/2023  6836   3707  166-20-2794
06/04/2023  8618   6601  888-46-1367
06/04/2023  1545   5741  636-29-5268
06/04/2023  1691   9498  145-39-5406
06/04/2023  8516   4321  113-60-6899
07/04/2023  1759  10909  636-29-5268
07/04/2023  2824  10629  770-82-7913
07/04/2023  9398  11342  113-60-6899
07/04/2023  8872   8512  669-74-2146
07/04/2023  2655  10167  344-36-7156
07/04/2023  8697   7917  506-94-2779
07/04/2023  6506   7547  888-46-1367
08/04/2023  4691   6407  344-36-7156
08/04/2023  1323   9335  521-84-1782
08/04/2023  5791   6675  278-11-6800
08/04/2023  5814   4243  415-95-3806
08/04/2023  2239  11609  112-44-3497
08/04/2023  6836   6192  378-12-5523
08/04/2023  9994  10984  462-37-3053
08/04/2023  9994   7490  521-84-1782
08/04/2023  2824   6392  728-31-2493
08/04/2023  8748  12316  229-85-2969
08/04/2023  6506   3256  888-46-1367
08/04/2023  6924  11793  698-47-1909
08/04/2023  2824   4888  131-71-6388
08/04/2023  6506  10426  698-47-1909
09/04/2023  9398  11964  852-35-5869
09/04/2023  5908   4898  274-80-8104
09/04/2023  2655   2147  712-25-4902
09/04/2023  8697   9093  195-51-9264
09/04/2023  5119  10771  782-34-4167
09/04/2023  2139   6475  111-19-4529
09/04/2023  1313  10988  636-29-5268
10/04/2023  5204   3630  113-60-6899
10/04/2023  2655  11077  834-50-2690
10/04/2023  1265   9038  344-36-7156
10/04/2023  3922   6871  691-12-9990
10/04/2023  9017   9619  459-36-1115
10/04/2023  6506   5469  502-54-3350
10/04/2023  5791   4888  274-80-8104
11/04/2023  2846   2111  669-74-2146
11/04/2023  5243   3857  278-49-6531
11/04/2023  1691   8661  131-71-6388
11/04/2023  2655   9070  520-32-2321
11/04/2023  2824   7871  834-50-2690
11/04/2023  9994   3050  635-96-2790
11/04/2023  9822   4270  274-80-8104
11/04/2023  9822  11635  867-16-8022
11/04/2023  2427   9606  274-80-8104
11/04/2023  6506   3176  782-34-4167
12/04/2023  5899   3368  111-19-4529
