=======================================================================================================================================
REPORTE DE PRUEBA - MEDICOS
CODIGO      NOMBRE                ESPECIALIDAD   NOMBRE        TARIFA
---------------------------------------------------------------------------------------------------------------------------------------
9846  AMEZQUITA EPIQUEN EVERT ROBERTO   576  PEDIATRIA          418.18
2375  CAMACHO AGUERO ELIA ROSA          576  PEDIATRIA          190.80
1691  AQUINO TORO VALENTINA ROCIO       576  PEDIATRIA          252.29
4691  SUAREZ BOLANOS RAFAEL             576  PEDIATRIA          319.48
1545  CORREA VIZCARDO MIGUEL            454  CARDIOLOGIA        180.94
3603  ASMAD ACUNA ANNIE OFELIA          454  CARDIOLOGIA        361.00
5119  NORABUENA PRECIADO CINTHIA        454  CARDIOLOGIA        280.70
5791  VELASQUEZ HUAYANAY EDGARD HENRY   454  CARDIOLOGIA        437.90
8872  CORRALES TSUKAZAN IRMA LOURDES    454  CARDIOLOGIA        490.97
8159  LAURA WONG MELVIN HENRRY          207  ENDOCRINOLOGIA     345.56
1847  INGA FLORES CESAR ADOLFO          207  ENDOCRINOLOGIA     234.35
8516  PRADO PAREDES JUAN                207  ENDOCRINOLOGIA     464.87
2139  DEL POZO ISABEL-JUGO              207  ENDOCRINOLOGIA     335.77
9444  ARCA AMEZQUITA EDRIC RONALD       453  UROLOGIA           102.48
1759  CRUZ FUENTES JOHANA YDALI         453  UROLOGIA           399.63
4393  CUBA NARVAEZ PAUL-JOHN            453  UROLOGIA           322.29
4494  LARRIEGA ARCA ISABEL-MADELEINE    453  UROLOGIA           245.01
1282  VILCARA CORREA VICTOR             716  GINECOLOGIA        265.18
6357  MEJIA HAZA FRANCISCO EDGAR        716  GINECOLOGIA        162.06
6924  PAREDES PATINO CHRISTIAN          716  GINECOLOGIA        222.03
1313  SOMA INGA DIALY                   716  GINECOLOGIA        482.05
5204  HIJAR YEP WILLIAMS CHRISTIAN      985  TRAUMATOLOGIA      219.54
5243  YOSHINARI RIVERA PAUL             985  TRAUMATOLOGIA      302.87
9822  MALCA SAAVEDRA DORIS-MILAGROS     985  TRAUMATOLOGIA      421.81
5899  LANDA PISCOYA CHRISTIAN           368  DERMATOLOGIA       199.82
5814  PORTUGAL BENAVENTE JOHANA GLORIA  368  DERMATOLOGIA       228.08
6506  SALAS AGUERO DANIEL               368  DERMATOLOGIA       140.12
2466  CORONEL CHUMPITAZ HELI            368  DERMATOLOGIA       274.29
1265  GORDILLO YINO YVONNE ROSARIO      368  DERMATOLOGIA       113.08
2427  MARTEL ASMAD BRUNO ROBERTO        762  GERIATRIA          190.25
9398  GONZALES ARIAS HENRY              762  GERIATRIA          140.19
8748  PALOMARES VERA HENRRY HUMBERTO    762  GERIATRIA          496.65
6836  PAIRAZAMAN CUBA ALBERTO           762  GERIATRIA          193.00
2655  PRADO VERGEL CARLOS JULIAN        996  ONCOLOGIA          327.46
9994  CALDERON ORTEGA GUILLERMO         996  ONCOLOGIA          304.30
9017  LANDEO SUELDO ADOLFO              996  ONCOLOGIA          418.29
2846  CARO POLO SANDRO                  369  OFTALMOLOGIA       436.54
2824  AURIS ZIMIC JAVIER DANIEL         369  OFTALMOLOGIA       238.43
1323  FARFAN RARAZ WALDEMAR             369  OFTALMOLOGIA       435.39
6587  JUSTINO CRUZ WILLIAMS             805  GASTROENTEROLOGIA  378.14
3922  CHAVEZ PRADO SILVANA              805  GASTROENTEROLOGIA  304.56
7727  CABRERA CANALES GUILLERMO EDRIC   805  GASTROENTEROLOGIA  159.62
2239  CERNA DURAND MARTIN               805  GASTROENTEROLOGIA  483.82
8618  MORALES VALVERDE INES MARTHA      805  GASTROENTEROLOGIA  114.79
5908  BENAVENTE AYALA VIRGINIA IRMA     670  NEUMOLOGIA         103.50
9418  VALVERDE BERROCAL RONY GONZALO    670  NEUMOLOGIA         211.67
8697  LOZADA YINO MARTHA                670  NEUMOLOGIA         143.53
